,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,class
25,-468.74344,152.13417,106.35316,52.8102,12.05292,-5.525551,-3.496135,5.323821,8.279534,0.56996214,-13.359385,-24.657047,-26.990116,-20.5849,-11.073501,-4.7474513,-4.1133184,-6.891297,-8.687622,-6.849898,-2.4416099,0.9651511,0.43019128,-3.8894053,-8.824543,-10.619992,-7.733073,-1.8922871,3.2582893,4.783173,2.3753827,-1.7199781,-4.5229154,-4.415799,-2.0293756,0.5409292,1.4169837,0.22173378,-1.8714005,-3.177245,1.41
26,-35.4606,43.01649,4.9122996,15.630626,-5.6829705,13.376629,-0.075220294,9.770793,-1.9593294,9.67784,3.774511,12.345362,4.3531075,6.373756,0.36188933,4.649584,-0.5399354,2.6996849,-4.4038525,-1.2685223,-2.1888845,2.1377707,-3.4036727,-0.81379294,-2.4613228,-0.29424924,-2.3348901,0.98919076,-0.9233236,1.8288473,-2.2996058,1.9441631,-3.055812,-0.105324484,-4.0872355,0.80704546,-2.6553042,-1.0092006,-2.9667847,1.6890035,4.92
27,-299.01678,115.36661,2.7101011,46.293114,6.05371,22.194008,4.9598045,20.134516,3.3818767,8.220722,1.037023,9.707568,-2.3314862,7.6019764,1.1428921,1.2275859,0.24369377,4.0523443,-1.0919805,3.4266734,-1.534562,3.327669,-0.68119115,2.6521032,-1.365747,1.079525,-1.2599206,1.9405545,-1.0355307,1.7811782,-2.126246,2.621525,-1.7696774,2.2852361,-1.3715125,1.6284226,-0.98953587,1.1824371,-0.6208622,1.1983207,2.12
28,-381.78488,73.857376,2.066349,-11.438138,-34.224495,-11.782745,-27.947012,-14.243446,-18.248108,-28.44986,-16.258102,1.8646009,3.5021129,-0.03416031,6.8462844,4.636508,-4.480672,4.086637,-12.123176,-2.2133317,-2.2881193,0.7259892,-2.492288,-3.548355,6.148278,3.3997517,-0.10480304,5.5005283,10.0173645,11.482461,5.360804,-0.32796505,2.220117,3.4157257,-3.0364192,0.098037384,2.5376294,-4.4065523,-3.1118445,1.0000943,2.46
29,-423.56375,191.1474,99.617294,5.3434553,-47.090694,-45.398834,-11.880386,17.173546,18.920202,-2.7883036,-26.147577,-31.861809,-17.99903,1.3509105,10.026468,3.1741724,-10.657117,-18.697424,-15.130559,-4.7167745,2.9554186,2.3531022,-3.9945078,-9.0616045,-8.19554,-2.812792,1.8597577,2.1423132,-0.9121532,-3.1219318,-1.5257255,2.831821,6.1209974,5.459031,1.4960375,-2.3863657,-3.2392986,-1.0428777,1.608606,2.0861492,1.32
30,-175.30756,99.77462,-45.859825,0.705046,-22.521908,-13.293791,-0.49237186,8.162477,-5.9397254,-5.2015347,-2.4592435,-9.479788,-17.859385,-11.685491,-8.367312,1.0000356,-4.601572,5.576516,-6.904096,-6.3047338,-9.272148,-7.3712683,1.3569288,-4.11692,-9.893044,-4.783401,-8.385695,-6.10379,-9.157574,-0.26320115,1.759417,5.112207,-1.324586,1.822359,-5.2359467,-0.759872,-2.111362,1.4016804,-0.41554824,-4.41006,4.8
31,-140.35497,117.45299,-0.7517235,23.963745,3.7866118,-1.4442483,0.6599011,5.788534,-0.23558412,-3.6754153,-9.104702,-2.835787,-9.963088,-8.427528,-7.3882365,0.26689458,-5.6002555,-3.9654572,-4.1198177,-2.9800413,-9.112245,-5.126746,-1.9222201,-0.6172508,-1.740302,-0.08029288,-2.4860544,3.669576,6.473928,8.040248,4.8289003,4.783623,-0.028487876,4.4520297,1.3010541,-1.9216311,-4.674094,0.19581702,-4.8652425,-5.137373,4.92
32,22.392937,6.272693,7.891282,10.498823,5.5269904,9.142323,1.2027148,4.2992496,0.4830268,4.7681627,-1.6444234,3.0169995,-1.8993528,2.214317,-2.259409,2.2912672,-1.8828278,2.0391405,-1.1395153,2.0219872,-1.7610765,1.8873454,-1.6542842,2.5516574,-1.3452554,2.5649722,-1.3250656,1.9302536,-2.172247,1.7732047,-1.3428757,1.6336396,-1.0224277,2.4574482,-1.1826334,1.5083797,-1.1255747,1.959859,-1.0909735,2.1235588,1.08
33,-178.6541,116.37257,-22.152649,24.099861,-6.7753353,-1.29816,-1.5941268,-6.7942824,-8.5716095,-3.49141,-5.925114,-1.9872341,-6.312119,1.7163202,-5.67065,-0.17900077,-6.5021276,0.7843481,-5.2742734,-0.633173,-3.9825392,-0.36730033,-2.9544084,0.5179935,-3.584475,0.25980958,-2.1653242,1.1980318,-4.7253447,-0.44084135,-4.0063844,0.50539786,-2.202173,0.27606344,-3.1043272,1.2679002,-1.6931357,1.6409312,-0.65850836,2.8641565,1.84
34,-118.49275,111.08511,-25.494781,29.448195,-0.08800379,-1.4611775,-5.8719196,-0.6172019,-3.250275,3.5832005,-1.6481335,0.5508897,-3.163722,2.4780357,-3.1418204,0.13606949,-5.8150973,-1.1064893,-3.3650908,1.580845,-3.040856,2.0337653,-0.048380297,1.0605079,-1.9639001,1.0402812,-3.8697007,2.3150642,-0.55172837,1.4729469,-1.4076364,2.1007998,-2.4161105,0.26518488,-3.0356529,2.3110192,-1.0104684,1.3306849,-1.828109,1.9784678,2.81
35,-573.89386,176.84062,40.440575,27.05591,17.933489,7.478076,7.8424053,6.872278,3.8621953,3.1814773,1.6093264,1.4472837,-0.9316039,0.591901,0.5124375,-1.7634121,-2.1039512,-2.2905314,-0.78982145,1.0280771,-1.0914727,-3.9153008,-3.604105,-4.834278,-4.303582,-1.4952936,-0.016979177,-0.07564774,-0.73335326,-0.84794986,-0.034937706,0.10241787,-0.85979915,-2.188733,-1.7735893,-0.3544782,-1.1375796,-1.8253717,-2.6310523,-1.9622946,3.42
36,-185.25734,138.99191,-15.870971,24.951263,-6.192272,4.7965355,-4.847844,1.1811241,-3.7870638,5.7528076,-2.0175118,2.0290158,-4.124182,2.4079838,-2.6980307,1.1402606,-4.775005,0.115627,-3.8553908,1.3306098,-1.1941446,1.7171602,-2.699719,1.8533341,-2.7627351,0.3467848,-3.1831377,2.084134,-1.5318446,2.4544334,-1.8833205,1.2675205,-1.7992423,0.6105805,-2.1110792,2.4324148,-0.27671206,1.6791677,-1.069978,1.5731506,1.28
37,-221.12831,119.35109,25.89422,21.477613,6.2603474,14.5840435,-2.076657,-3.4731283,-10.301497,-5.1614723,-7.5876236,-8.368865,-12.135674,-6.1315823,-8.762853,-2.3132002,-5.742083,-2.803837,-12.4494915,-3.4158728,-3.4387002,-2.5875225,-1.9427365,2.4431384,-5.0349283,-4.854125,-7.7058096,2.2228174,2.391478,4.09954,-12.008787,-4.458626,2.1755834,7.2831306,1.5204492,-0.52687144,-5.5710444,0.4619237,-0.25429583,-7.5373735,4.32
38,-335.37918,240.4014,6.5065885,-31.428986,30.462967,23.145994,-5.5418925,4.9909425,5.7016478,-8.233234,0.7693952,6.340713,-12.537482,-18.5273,-6.079284,-6.246518,-10.236021,0.68924093,8.864302,4.6406345,2.0935235,1.0017629,-4.354155,-5.62458,-3.0391333,-6.1378007,-9.225886,-4.1210837,0.27593425,-3.8918023,-8.445529,-4.3210864,3.7929983,4.369244,-3.0019124,-6.5199075,-3.8758004,-4.8798428,-7.668429,-2.4022677,2.19
39,-39.755966,-1.5784112,0.56021404,1.0965896,-1.7338638,1.0982804,-2.599469,1.0857495,-2.6329675,1.5648355,-1.6327102,2.720984,-1.4621574,1.8999178,-1.642695,2.6024077,-1.4063373,1.79035,-2.924014,1.3524922,-1.732649,1.8238871,-1.6399033,2.6332314,-1.4851844,1.8560998,-1.6444598,2.352038,-1.6635472,1.8678236,-1.7635994,1.548733,-1.6241986,2.1232355,-1.9781406,1.6339637,-1.5073707,1.0225178,-1.7342752,1.587479,1.0
40,-285.6155,114.23012,-7.0758276,17.220886,-4.1537943,2.0916965,-0.66690314,3.7560737,-8.619152,0.68371356,-5.719179,-1.6870624,-10.644982,0.46483406,2.1858478,-0.891383,-1.8496481,1.438419,-4.717126,0.5461577,0.57927245,1.761393,0.97249395,3.6987607,-0.05301845,1.4909748,-3.8210468,-0.31453717,-0.6801215,1.9953328,0.9415777,2.4724472,4.685803,4.168146,7.355677,9.066689,7.7446527,7.3083696,1.7030755,0.10298033,5.0
41,-478.75955,214.64987,97.78476,-20.964579,-83.80691,-76.14341,-28.439554,12.290668,18.007486,-4.915316,-28.763119,-31.188152,-12.514903,8.596695,14.127779,2.2214549,-13.41218,-17.531805,-6.967883,8.010327,14.31069,7.924831,-3.5161734,-8.779007,-3.415605,6.94971,12.614759,8.793041,-0.66362,-7.51481,-6.7236686,-0.3595543,5.147294,5.16702,0.61000246,-3.7105677,-3.919063,-0.40462127,3.1408374,3.5298939,2.96
42,-198.94273,85.71176,14.655249,30.136919,-16.814137,19.788546,-6.360006,-2.15045,8.169806,-10.195608,-6.1217875,-3.9607518,-1.9635905,1.3963263,-9.840181,-1.9085479,-1.0704947,-3.239212,-1.0791403,-4.9390974,-5.3690414,-4.9938407,-8.543046,2.3010662,-5.5704427,-3.8192744,-3.579702,-0.4509807,-3.3389752,-1.2321467,-4.5728617,-6.3373427,-7.932642,-3.311992,-2.7508554,0.35435534,1.0388912,0.56595427,0.39699578,-1.150554,1.8
